Step ID,Problem Hierarchy,Problem Name,Max Problem View,Step Name,,,Avg Incorrects,Avg Hints,Avg Corrects,% First Attempt Incorrects,% First Attempt Hints,% First Attempt Corrects,Avg Step Duration (sec),Avg Correct Step Duration (sec),Avg Error Step Duration (sec),Total Students,Total Opportunities,KC(Paragraph Based 16 clusters)
ea1962aad29c99e0b42276e873c8fa8f,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,4,cells_and_chromosomes_modquiz_pool_q2_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q2,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q2,0.1214,0,0.8786,12.1413,0,87.8587,18.92,18.763,19.98,356,453,cell
479f86087d2dd2b00c72fcf159907d82,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,6,cells_and_chromosomes_modquiz_pool_q3_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q3,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q3,0.0571,0,0.9429,5.7143,0,94.2857,19.219,19.121,20.795,369,455,cell
d68f0aae82b83de496f7f097725c3662,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,4,cells_and_chromosomes_modquiz_pool_q4_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q4,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q4,0.0369,0,0.9631,3.6866,0,96.3134,19.093,18.975,22.493,365,434,cell
4521ec499dc6e0c4483f245a7cfff422,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,4,cells_and_chromosomes_modquiz_pool_q5_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q5,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q5,0.1596,0,0.8404,15.9551,0,84.0449,18.907,18.53,20.957,361,445,cell
7e3f49fd4ddb86885e20ed80ad418da2,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,4,cells_and_chromosomes_modquiz_pool_q6_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q6,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q6,0.0478,0,0.9522,4.7836,0,95.2164,19.765,19.952,15.839,359,439,cell
00968b04d087a807934a7bb64a80c94d,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,6,cells_and_chromosomes_modquiz_pool_q7_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q7,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q7,0.2455,0,0.7545,24.5536,0,75.4464,19.56,19.528,19.671,359,448,cell
016e0cd153ff86a75f24266862bd56e2,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,6,cells_and_chromosomes_modquiz_pool_q8_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q8,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q8,0.1508,0,0.8492,15.0776,0,84.9224,19.672,19.908,18.266,365,451,cell
da4e44526569c069494deb210e82eb1b,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",cells_and_chromosomes_quiz,6,cells_and_chromosomes_modquiz_pool_q9_i1 UpdateRadioButton,cells_and_chromosomes_modquiz_pool_q9,cells_and_chromosomes_quiz_cells_and_chromosomes_modquiz_pool_q9,0.2217,0,0.7783,22.1719,0,77.8281,18.973,18.315,21.396,360,442,dna
5baf5c7f48d992431cf22b6ae2cb16e5,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_DNA_structure_at_replication_DIGT,3,q1_i1 UpdateRadioButton,q1,inline_DNA_structure_at_replication_DIGT_q1,0.4504,0,1.0268,31.9035,0,68.0965,2.617,0.882,6.319,359,373,dna
f8d8821bb9469ba8cbf353bf5683f255,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_DNA_structure_at_replication_DIGT,4,q2_m_phase_i1 UpdateRadioButton,q2_m_phase,inline_DNA_structure_at_replication_DIGT_q2_m_phase,0.338,0,1.0055,22.9917,0,77.0083,20.706,20.896,20.072,350,361,dna
d0eca402daf0cf318b9d8c523028d063,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_cell_repl_counting_chromosomes,2,q1_i1 UpdateRadioButton,q1,inline_cell_repl_counting_chromosomes_q1,0.2337,0.0089,1.0118,18.3432,0.2959,81.3609,1.518,0.098,7.714,336,338,cell
41695ffccc8d1d78d3a4a3180e6082ea,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_cell_repl_counting_chromosomes,2,q2_i1 UpdateRadioButton,q2,inline_cell_repl_counting_chromosomes_q2,0.2831,0.003,1.009,17.7711,0.3012,81.9277,14.747,11.272,30.5,330,332,cell
0c4c10b7f360536b019e29b9fa108500,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_cell_repl_counting_chromosomes,3,q3_i1 UpdateRadioButton,q3,inline_cell_repl_counting_chromosomes_q3,0.2219,0,1.0061,18.845,0,81.155,10.856,9.491,16.734,326,329,cell
4b62293bfd438dab7e9388e56a095f86,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_cell_repl_counting_chromosomes,3,q4_i1 UpdateRadioButton,q4,inline_cell_repl_counting_chromosomes_q4,0.3587,0,1.0061,27.3556,0,72.6444,12.719,10.916,17.506,328,329,cell
3b9d9b7c11c6efed6e397939251519ec,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_cell_repl_counting_chromosomes_DIGT,2,q1_i1 UpdateRadioButton,q1,inline_cell_repl_counting_chromosomes_DIGT_q1,0.2896,0,1.0152,22.2561,0,77.7439,1.131,0.035,4.959,327,328,cell
44c423b2ef5e7e97f91de8d6d7a2cb89,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_cell_repl_counting_chromosomes_DIGT,2,q2_i1 UpdateRadioButton,q2,inline_cell_repl_counting_chromosomes_DIGT_q2,0.2284,0,1.0062,15.4321,0,84.5679,10.077,8.657,17.86,323,324,cell
2506bbf092efac9853e64bdf1608d95d,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_cell_repl_counting_chromosomes_DIGT,2,q3_i1 UpdateRadioButton,q3,inline_cell_repl_counting_chromosomes_DIGT_q3,0.2901,0,1.0093,27.4691,0,72.5309,9.696,8.511,12.826,321,324,cell
9450359eddbd0224b4b3a126b626be6a,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_cell_repl_counting_chromosomes_DIGT,3,q4_i1 UpdateRadioButton,q4,inline_cell_repl_counting_chromosomes_DIGT_q4,0.3478,0,0.9938,29.1925,0,70.8075,12.349,9.904,18.282,320,322,cell
63810a9881220d465650c9d0577386d1,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_chromosome_regions_DIGT,2,q1_i1 UpdateRadioButton,q1,inline_chromosome_regions_DIGT_q1,0.0826,0.0031,1.0031,7.3394,0.3058,92.3547,0.431,0.073,4.76,326,327,gene
d063ff7b0580dc4e9838fd6559a8460a,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_chromosome_regions_DIGT,2,q2_i1 UpdateRadioButton,q2,inline_chromosome_regions_DIGT_q2,0.211,0,1.0061,17.1254,0,82.8746,12.618,11.609,17.5,326,327,cell
990686253dcadded51a2d2c935485068,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_chromosome_regions_DIGT,2,q3_chromatids_i1 UpdateRadioButton,q3_chromatids,inline_chromosome_regions_DIGT_q3_chromatids,0.4523,0.0031,1.0062,34.7692,0.3077,64.9231,13.154,11.493,16.228,324,325,structure
6fd595013d184734ec52f59bb4a4dbdb,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_chromosome_regions_DIGT,2,q4_centromeres_i1 UpdateRadioButton,q4_centromeres,inline_chromosome_regions_DIGT_q4_centromeres,0.1486,0,1,10.5263,0,89.4737,9.307,8.747,14.059,322,323,cell
a32b81b27b82d9153e16c6b0243b7ff1,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_chromosomes_LBD,1,q1_i1 UpdateRadioButton,q1,inline_chromosomes_LBD_q1,0.4827,0,1.0231,32.0809,0,67.9191,2.789,0.332,7.991,346,346,cell
0c7e31f2054a41d7226253988feb0b15,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_chromosomes_LBD,2,q2_i1 UpdateRadioButton,q2,inline_chromosomes_LBD_q2,0.7784,0,1.0175,55.6851,0,44.3149,20.202,19.724,20.584,341,343,cell
f826d99c9eaece4e86bad3197d150946,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_chromosomes_LBD,2,q3_i1 UpdateRadioButton,q3,inline_chromosomes_LBD_q3,0.4154,0,1.0178,25.816,0,74.184,18.89,15.048,29.885,337,337,cell
f5d388ac3fb08ced507916def509c9e8,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_distinguish_cell_type_DIGT,2,q1_i1 UpdateRadioButton,q1,inline_distinguish_cell_type_DIGT_q1,0.1003,0,1.0106,5.5409,0,94.4591,0.406,0.165,4.524,378,379,cell
75681d9b0e8f9dc6fe58c6c1f3c14542,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_distinguish_cell_type_DIGT,2,q2_i1 UpdateRadioButton,q2,inline_distinguish_cell_type_DIGT_q2,0.1164,0,1.0106,10.3175,0,89.6825,9.544,9.257,12.105,376,378,cell
71186af1e6bce6412e3c4e8dbdea9b85,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_distinguish_cell_type_DIGT,3,q3_somatic_cells_i1 UpdateRadioButton,q3_somatic_cells,inline_distinguish_cell_type_DIGT_q3_somatic_cells,0.228,0,0.997,15.8055,0,84.1945,28.18,27.655,30.962,327,329,cell
4c24d5071186885526618fc80a3039fd,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_distinguish_cell_type_DIGT,3,q4_gametes_i1 UpdateRadioButton,q4_gametes,inline_distinguish_cell_type_DIGT_q4_gametes,0.3098,0,1.0276,17.4847,0,82.5153,31.243,30.444,35,323,326,cell
0455c4272ee58f705cb076c48b8f2611,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_gamete_cells_function_LBD,2,q1_i1 UpdateRadioButton,q1,inline_gamete_cells_function_LBD_q1,0.1968,0,1.0053,19.4149,0,80.5851,2.267,1.726,4.514,371,376,cell
a7a4cd0167d6cb3c17cb6c47cf88fe61,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_gamete_cells_function_LBD,2,q2_i1 UpdateRadioButton,q2,inline_gamete_cells_function_LBD_q2,0.5317,0,1.0741,42.0635,0,57.9365,14.02,11.132,17.997,374,378,cell
017bca8bd27476090d115015cf795ad4,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_gamete_cells_function_LBD,2,q3_i1 UpdateRadioButton,q3,inline_gamete_cells_function_LBD_q3,0.3697,0,1.0027,35.9043,0,64.0957,17.471,17.247,17.867,371,376,cell
7af05be8d4b977162d4c88788f39e52a,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_gamete_cells_function_LBD,2,q4_i1 UpdateRadioButton,q4,inline_gamete_cells_function_LBD_q4,0.4826,0.0027,1.0188,26.5416,0,73.4584,15.603,14.624,18.313,370,373,cell
37e1b088506d6c07e95a076331f85604,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Cells and Chromosomes",inline_gamete_cells_function_LBD,2,q5_i1 UpdateRadioButton,q5,inline_gamete_cells_function_LBD_q5,0.3544,0,0.993,25.2632,0,74.7368,34.958,31.646,44.845,284,285,cell
3e0c395ae37a0f048d10548f7a7b823b,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",_u3_cell_structure_functions_DIGT,1,q1_i1 UpdateRadioButton,q1,_u3_cell_structure_functions_DIGT_q1,0,0,1,0,0,100,2.5,2.5,,2,2,lipids
0c86befe93b9472b88afcfa43a1cca4a,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",_u3_cell_structure_functions_DIGT,1,q2_i1 UpdateRadioButton,q2,_u3_cell_structure_functions_DIGT_q2,0.5,0,1,50,0,50,7.5,0,15,2,2,structure
74649742e76564889cdcd11385a23b4b,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett,1,q1_cap_cap UpdateComboBox,q1_cap,dynadrop_assessment_punnett_q1_cap,0.015,0,1.0037,1.4981,0,98.5019,0.375,0.342,2.5,267,267,biology
c63a437906534c911ac2d50cb1c46e9d,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett,1,q1_cap_small UpdateComboBox,q1_cap,dynadrop_assessment_punnett_q1_cap,0.0112,0,1.0037,1.1236,0,98.8764,2.64,2.602,6,267,267,biology
6cceab68893652fd9032a78aac916657,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett,1,q1_cap_small2 UpdateComboBox,q1_cap,dynadrop_assessment_punnett_q1_cap,0.015,0.0038,1.0188,1.5038,0,98.4962,3.049,3.004,6,266,266,biology
2d2fe1a3b0c4dd6bf496016f9fc717ff,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett,1,q1_small_small UpdateComboBox,q1_small,dynadrop_assessment_punnett_q1_small,0.0448,0,1,4.1045,0,95.8955,2.604,2.455,6.091,268,268,biology
dd2a93bb58de9248a3bc01e905ca29c3,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett_yr,1,q1_2cap_2cap UpdateComboBox,q1_2cap,dynadrop_assessment_punnett_yr_q1_2cap,0.0251,0,1,2.5105,0,97.4895,1.201,1.12,4.333,239,239,biology
0849e68f4e06b9d0f0f6e01c0460dbb4,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett_yr,3,q1_2cap_2small UpdateComboBox,q1_2cap,dynadrop_assessment_punnett_yr_q1_2cap,0.1292,0,1,8.6124,0,91.3876,10.756,9.927,19.556,209,209,biology
1ac0b35e9ec509424a58693ab569a1bd,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett_yr,1,q1_2cap_capSmall UpdateComboBox,q1_2cap,dynadrop_assessment_punnett_yr_q1_2cap,0.0822,0,1,6.8493,0,93.1507,11.457,10.794,20.467,219,219,biology
fbacd7a0508adc30ee49bd8c2fb80c02,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett_yr,1,q1_2cap_capSmall2 UpdateComboBox,q1_2cap,dynadrop_assessment_punnett_yr_q1_2cap,0.1111,0,1.0093,8.3333,0,91.6667,10.218,9.838,14.389,216,216,biology
d083e5166d7a5898cd2c051735d07d3b,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett_yr,2,q1_2small_2cap UpdateComboBox,q1_2small,dynadrop_assessment_punnett_yr_q1_2small,0.0728,0,1.0049,5.8252,0,94.1748,8.33,8.108,11.917,206,206,biology
318db95a2360f113760160f70be9bb5a,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett_yr,2,q1_2small_2small UpdateComboBox,q1_2small,dynadrop_assessment_punnett_yr_q1_2small,0.0049,0.0049,0.9951,0.4854,0.4854,99.0291,5.49,5.412,13.5,206,206,biology
0c8c6cd8af77a9cd00fd1c68895b796d,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett_yr,2,q1_2small_capSmall UpdateComboBox,q1_2small,dynadrop_assessment_punnett_yr_q1_2small,0.098,0,1.0049,8.3333,0,91.6667,7.956,7.39,14.176,204,204,biology
0fd18e9cc201817c064c635732a7a7f6,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett_yr,3,q1_2small_capSmall2 UpdateComboBox,q1_2small,dynadrop_assessment_punnett_yr_q1_2small,0.1587,0,0.9808,13.4615,0,86.5385,7.851,7.15,12.357,206,208,biology
58d1b9a4f92b73210dd6cdf05383b141,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett_yr,3,q1_capSmall_2cap UpdateComboBox,q1_capSmall,dynadrop_assessment_punnett_yr_q1_capSmall,0.09,0,1.0095,7.109,0,92.891,10.218,9.76,16.2,211,211,biology
1f265d7f1976c4d026417bae4682c630,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett_yr,2,q1_capSmall_2cap2 UpdateComboBox,q1_capSmall,dynadrop_assessment_punnett_yr_q1_capSmall,0.1381,0,1.0048,10,0,90,10.9,10.138,17.762,210,210,biology
606ce7ca050ecfdcdc2262e22ddac98c,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett_yr,2,q1_capSmall_2small UpdateComboBox,q1_capSmall,dynadrop_assessment_punnett_yr_q1_capSmall,0.1176,0,1.0049,8.3333,0,91.6667,8.451,7.813,15.471,204,204,biology
560d613d8bf1cadbf3dae50c34b77a1f,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett_yr,2,q1_capSmall_2small2 UpdateComboBox,q1_capSmall,dynadrop_assessment_punnett_yr_q1_capSmall,0.1683,0,1,12.9808,0,87.0192,11.26,9.729,21.519,208,208,biology
18121e58f2e2659dfd15f4d85bd66322,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett_yr,2,q1_capSmall_capSmall UpdateComboBox,q1_capSmall,dynadrop_assessment_punnett_yr_q1_capSmall,0.0833,0,1,6.8627,0,93.1373,9.382,8.658,19.214,204,204,biology
21141d64a6d6f266b85873bb38523b3a,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett_yr,2,q1_capSmall_capSmall2 UpdateComboBox,q1_capSmall,dynadrop_assessment_punnett_yr_q1_capSmall,0.1587,0,1,11.5385,0,88.4615,10.303,8.918,20.917,208,208,biology
718e15b5762b1d7408a5ad365f79d5e9,"(sequence) Introduction to Biology, (unit) Cell Reproduction and Classic Genetics, (module) Heredity",dynadrop_assessment_punnett_yr,2,q1_capSmall_capSmall3 UpdateComboBox,q1_capSmall,dynadrop_assessment_punnett_yr_q1_capSmall,0.1366,0,1,11.2195,0,88.7805,8.922,7.885,17.13,205,205,biology
